,Imóvel,Preço (R$),Aluguel (R$),Bairro,Área (m²),Quartos,Banheiros,Vagas
7366,Apartamento,1600,3380,Jardim Paulista,57,1,1,1
7367,Apartamento,781,1800,Sumaré,50,1,1,1
7368,Sala/Conjunto,0,1000,Barra Funda,34,0,2,1
7369,Apartamento,0,2600,Bela Vista,48,1,1,0
7370,Apartamento,0,4500,Perdizes,140,3,3,2
7371,Sala/Conjunto,0,1950,República,65,0,2,0
7372,Apartamento,605,2100,Jardim Ampliação,73,3,2,2
7373,Apartamento,1850,9500,Itaim Bibi,125,3,4,2
7374,Apartamento,1100,6900,Vila Olímpia,52,1,2,1
7375,Apartamento,250,1051,Liberdade,30,1,1,0
7376,Sala/Conjunto,0,2800,Santa Cecília,88,0,2,0
7377,Apartamento,650,1700,Consolação,50,2,1,1
7378,Apartamento,925,3999,Itaim Bibi,95,2,1,0
7379,Casa,2350,950,Jardim Japão,40,1,1,0
7380,Apartamento,590,1100,Vila Andrade,35,1,1,1
7381,Apartamento,1190,7750,Itaim Bibi,117,2,2,1
7382,Sala/Conjunto,0,2500,Brooklin,70,0,2,3
7383,Apartamento,651,1500,Vila Água Funda,75,2,2,1
7384,Apartamento,1150,3200,Vila Mariana,110,3,2,1
7385,Apartamento,600,8500,Vila Nova Conceição,100,3,3,1
7386,Apartamento,850,5900,Sumaré,74,2,3,2
7387,Apartamento,450,3200,Indianópolis,36,1,1,0
7388,Apartamento,0,1350,Vila Madalena,24,1,1,0
7389,Apartamento,536,2800,Brooklin,47,1,1,1
7390,Sala/Conjunto,0,1700,Santana,60,0,1,0
7391,Apartamento,480,1500,Brás,49,2,1,1
7392,Apartamento,4800,23000,Jardim Paulista,200,3,4,4
7393,Apartamento,550,2000,Moema,54,1,1,1
7394,Apartamento,410,1800,Vila Mariana,44,1,1,0
7395,Apartamento,506,2100,Barra Funda,60,2,2,1
7396,Sala/Conjunto,0,1900,Vila Leopoldina,40,0,1,1
7397,Sala/Conjunto,0,600,República,20,0,1,0
7398,Apartamento,2766,22000,Jardim Paulista,168,3,3,2
7399,Apartamento,700,2300,Jaguaré,70,3,2,2
7400,Apartamento,724,1800,Vila Paulista,76,3,2,1
7401,Sala/Conjunto,0,950,Vila Romana,25,0,1,0
7402,Apartamento,1600,3380,Jardim Paulista,57,1,1,1
7403,Apartamento,781,1800,Sumaré,50,1,1,1
7404,Sala/Conjunto,0,1000,Barra Funda,34,0,2,1
7405,Apartamento,0,2600,Bela Vista,48,1,1,0
7406,Apartamento,0,4500,Perdizes,140,3,3,2
7407,Sala/Conjunto,0,1950,República,65,0,2,0
7408,Apartamento,605,2100,Jardim Ampliação,73,3,2,2
7409,Apartamento,1850,9500,Itaim Bibi,125,3,4,2
7410,Apartamento,1100,6900,Vila Olímpia,52,1,2,1
7411,Apartamento,250,1051,Liberdade,30,1,1,0
7412,Sala/Conjunto,0,2800,Santa Cecília,88,0,2,0
7413,Apartamento,650,1700,Consolação,50,2,1,1
7414,Apartamento,925,3999,Itaim Bibi,95,2,1,0
7415,Casa,2350,950,Jardim Japão,40,1,1,0
7416,Apartamento,590,1100,Vila Andrade,35,1,1,1
7417,Apartamento,1190,7750,Itaim Bibi,117,2,2,1
7418,Sala/Conjunto,0,2500,Brooklin,70,0,2,3
7419,Apartamento,651,1500,Vila Água Funda,75,2,2,1
7420,Apartamento,1150,3200,Vila Mariana,110,3,2,1
7421,Apartamento,600,8500,Vila Nova Conceição,100,3,3,1
7422,Apartamento,850,5900,Sumaré,74,2,3,2
7423,Apartamento,450,3200,Indianópolis,36,1,1,0
7424,Apartamento,0,1350,Vila Madalena,24,1,1,0
7425,Apartamento,536,2800,Brooklin,47,1,1,1
7426,Sala/Conjunto,0,1700,Santana,60,0,1,0
7427,Apartamento,480,1500,Brás,49,2,1,1
7428,Apartamento,4800,23000,Jardim Paulista,200,3,4,4
7429,Apartamento,550,2000,Moema,54,1,1,1
7430,Apartamento,410,1800,Vila Mariana,44,1,1,0
7431,Apartamento,506,2100,Barra Funda,60,2,2,1
7432,Sala/Conjunto,0,1900,Vila Leopoldina,40,0,1,1
7433,Sala/Conjunto,0,600,República,20,0,1,0
7434,Apartamento,2766,22000,Jardim Paulista,168,3,3,2
7435,Apartamento,700,2300,Jaguaré,70,3,2,2
7436,Apartamento,724,1800,Vila Paulista,76,3,2,1
7437,Sala/Conjunto,0,950,Vila Romana,25,0,1,0
7438,Apartamento,1600,3380,Jardim Paulista,57,1,1,1
7439,Apartamento,781,1800,Sumaré,50,1,1,1
7440,Sala/Conjunto,0,1000,Barra Funda,34,0,2,1
7441,Apartamento,0,2600,Bela Vista,48,1,1,0
7442,Apartamento,0,4500,Perdizes,140,3,3,2
7443,Sala/Conjunto,0,1950,República,65,0,2,0
7444,Apartamento,605,2100,Jardim Ampliação,73,3,2,2
7445,Apartamento,1850,9500,Itaim Bibi,125,3,4,2
7446,Apartamento,1100,6900,Vila Olímpia,52,1,2,1
7447,Apartamento,250,1051,Liberdade,30,1,1,0
7448,Sala/Conjunto,0,2800,Santa Cecília,88,0,2,0
7449,Apartamento,650,1700,Consolação,50,2,1,1
7450,Apartamento,925,3999,Itaim Bibi,95,2,1,0
7451,Casa,2350,950,Jardim Japão,40,1,1,0
7452,Apartamento,590,1100,Vila Andrade,35,1,1,1
7453,Apartamento,1190,7750,Itaim Bibi,117,2,2,1
7454,Sala/Conjunto,0,2500,Brooklin,70,0,2,3
7455,Apartamento,651,1500,Vila Água Funda,75,2,2,1
7456,Apartamento,1150,3200,Vila Mariana,110,3,2,1
7457,Apartamento,600,8500,Vila Nova Conceição,100,3,3,1
7458,Apartamento,850,5900,Sumaré,74,2,3,2
7459,Apartamento,450,3200,Indianópolis,36,1,1,0
7460,Apartamento,0,1350,Vila Madalena,24,1,1,0
7461,Apartamento,536,2800,Brooklin,47,1,1,1
7462,Sala/Conjunto,0,1700,Santana,60,0,1,0
7463,Apartamento,480,1500,Brás,49,2,1,1
7464,Apartamento,4800,23000,Jardim Paulista,200,3,4,4
7465,Apartamento,550,2000,Moema,54,1,1,1
7466,Apartamento,410,1800,Vila Mariana,44,1,1,0
7467,Apartamento,506,2100,Barra Funda,60,2,2,1
7468,Sala/Conjunto,0,1900,Vila Leopoldina,40,0,1,1
7469,Sala/Conjunto,0,600,República,20,0,1,0
7470,Apartamento,2766,22000,Jardim Paulista,168,3,3,2
7471,Apartamento,700,2300,Jaguaré,70,3,2,2
7472,Apartamento,724,1800,Vila Paulista,76,3,2,1
7473,Sala/Conjunto,0,950,Vila Romana,25,0,1,0
7474,Apartamento,1600,3380,Jardim Paulista,57,1,1,1
7475,Apartamento,781,1800,Sumaré,50,1,1,1
7476,Sala/Conjunto,0,1000,Barra Funda,34,0,2,1
7477,Apartamento,0,2600,Bela Vista,48,1,1,0
7478,Apartamento,0,4500,Perdizes,140,3,3,2
7479,Sala/Conjunto,0,1950,República,65,0,2,0
7480,Apartamento,605,2100,Jardim Ampliação,73,3,2,2
7481,Apartamento,1850,9500,Itaim Bibi,125,3,4,2
7482,Apartamento,1100,6900,Vila Olímpia,52,1,2,1
7483,Apartamento,250,1051,Liberdade,30,1,1,0
7484,Sala/Conjunto,0,2800,Santa Cecília,88,0,2,0
7485,Apartamento,650,1700,Consolação,50,2,1,1
7486,Apartamento,925,3999,Itaim Bibi,95,2,1,0
7487,Casa,2350,950,Jardim Japão,40,1,1,0
7488,Apartamento,590,1100,Vila Andrade,35,1,1,1
7489,Apartamento,1190,7750,Itaim Bibi,117,2,2,1
7490,Sala/Conjunto,0,2500,Brooklin,70,0,2,3
7491,Apartamento,651,1500,Vila Água Funda,75,2,2,1
7492,Apartamento,1150,3200,Vila Mariana,110,3,2,1
7493,Apartamento,600,8500,Vila Nova Conceição,100,3,3,1
7494,Apartamento,850,5900,Sumaré,74,2,3,2
7495,Apartamento,450,3200,Indianópolis,36,1,1,0
7496,Apartamento,0,1350,Vila Madalena,24,1,1,0
7497,Apartamento,536,2800,Brooklin,47,1,1,1
7498,Sala/Conjunto,0,1700,Santana,60,0,1,0
7499,Apartamento,480,1500,Brás,49,2,1,1
7500,Apartamento,4800,23000,Jardim Paulista,200,3,4,4
7501,Apartamento,550,2000,Moema,54,1,1,1
7502,Apartamento,410,1800,Vila Mariana,44,1,1,0
7503,Apartamento,506,2100,Barra Funda,60,2,2,1
7504,Sala/Conjunto,0,1900,Vila Leopoldina,40,0,1,1
7505,Sala/Conjunto,0,600,República,20,0,1,0
7506,Apartamento,2766,22000,Jardim Paulista,168,3,3,2
7507,Apartamento,700,2300,Jaguaré,70,3,2,2
7508,Apartamento,724,1800,Vila Paulista,76,3,2,1
7509,Sala/Conjunto,0,950,Vila Romana,25,0,1,0
7510,Apartamento,1600,3380,Jardim Paulista,57,1,1,1
7511,Apartamento,781,1800,Sumaré,50,1,1,1
7512,Sala/Conjunto,0,1000,Barra Funda,34,0,2,1
7513,Apartamento,0,2600,Bela Vista,48,1,1,0
7514,Apartamento,0,4500,Perdizes,140,3,3,2
7515,Sala/Conjunto,0,1950,República,65,0,2,0
7516,Apartamento,605,2100,Jardim Ampliação,73,3,2,2
7517,Apartamento,1850,9500,Itaim Bibi,125,3,4,2
7518,Apartamento,1100,6900,Vila Olímpia,52,1,2,1
7519,Apartamento,250,1051,Liberdade,30,1,1,0
7520,Sala/Conjunto,0,2800,Santa Cecília,88,0,2,0
7521,Apartamento,650,1700,Consolação,50,2,1,1
7522,Apartamento,925,3999,Itaim Bibi,95,2,1,0
7523,Casa,2350,950,Jardim Japão,40,1,1,0
7524,Apartamento,590,1100,Vila Andrade,35,1,1,1
7525,Apartamento,1190,7750,Itaim Bibi,117,2,2,1
7526,Sala/Conjunto,0,2500,Brooklin,70,0,2,3
7527,Apartamento,651,1500,Vila Água Funda,75,2,2,1
7528,Apartamento,1150,3200,Vila Mariana,110,3,2,1
7529,Apartamento,600,8500,Vila Nova Conceição,100,3,3,1
7530,Apartamento,850,5900,Sumaré,74,2,3,2
7531,Apartamento,450,3200,Indianópolis,36,1,1,0
7532,Apartamento,0,1350,Vila Madalena,24,1,1,0
7533,Apartamento,536,2800,Brooklin,47,1,1,1
7534,Sala/Conjunto,0,1700,Santana,60,0,1,0
7535,Apartamento,480,1500,Brás,49,2,1,1
7536,Apartamento,4800,23000,Jardim Paulista,200,3,4,4
7537,Apartamento,550,2000,Moema,54,1,1,1
7538,Apartamento,410,1800,Vila Mariana,44,1,1,0
7539,Apartamento,506,2100,Barra Funda,60,2,2,1
7540,Sala/Conjunto,0,1900,Vila Leopoldina,40,0,1,1
7541,Sala/Conjunto,0,600,República,20,0,1,0
7542,Apartamento,2766,22000,Jardim Paulista,168,3,3,2
7543,Apartamento,700,2300,Jaguaré,70,3,2,2
7544,Apartamento,724,1800,Vila Paulista,76,3,2,1
7545,Sala/Conjunto,0,950,Vila Romana,25,0,1,0
7546,Apartamento,1600,3380,Jardim Paulista,57,1,1,1
7547,Apartamento,781,1800,Sumaré,50,1,1,1
7548,Sala/Conjunto,0,1000,Barra Funda,34,0,2,1
7549,Apartamento,0,2600,Bela Vista,48,1,1,0
7550,Apartamento,0,4500,Perdizes,140,3,3,2
7551,Sala/Conjunto,0,1950,República,65,0,2,0
7552,Apartamento,605,2100,Jardim Ampliação,73,3,2,2
7553,Apartamento,1850,9500,Itaim Bibi,125,3,4,2
7554,Apartamento,1100,6900,Vila Olímpia,52,1,2,1
7555,Apartamento,250,1051,Liberdade,30,1,1,0
7556,Sala/Conjunto,0,2800,Santa Cecília,88,0,2,0
7557,Apartamento,650,1700,Consolação,50,2,1,1
7558,Apartamento,925,3999,Itaim Bibi,95,2,1,0
7559,Casa,2350,950,Jardim Japão,40,1,1,0
7560,Apartamento,590,1100,Vila Andrade,35,1,1,1
7561,Apartamento,1190,7750,Itaim Bibi,117,2,2,1
7562,Sala/Conjunto,0,2500,Brooklin,70,0,2,3
7563,Apartamento,651,1500,Vila Água Funda,75,2,2,1
7564,Apartamento,1150,3200,Vila Mariana,110,3,2,1
7565,Apartamento,600,8500,Vila Nova Conceição,100,3,3,1
7566,Apartamento,850,5900,Sumaré,74,2,3,2
7567,Apartamento,450,3200,Indianópolis,36,1,1,0
7568,Apartamento,0,1350,Vila Madalena,24,1,1,0
7569,Apartamento,536,2800,Brooklin,47,1,1,1
7570,Sala/Conjunto,0,1700,Santana,60,0,1,0
7571,Apartamento,480,1500,Brás,49,2,1,1
7572,Apartamento,4800,23000,Jardim Paulista,200,3,4,4
7573,Apartamento,550,2000,Moema,54,1,1,1
7574,Apartamento,410,1800,Vila Mariana,44,1,1,0
7575,Apartamento,506,2100,Barra Funda,60,2,2,1
7576,Sala/Conjunto,0,1900,Vila Leopoldina,40,0,1,1
7577,Sala/Conjunto,0,600,República,20,0,1,0
7578,Apartamento,2766,22000,Jardim Paulista,168,3,3,2
7579,Apartamento,700,2300,Jaguaré,70,3,2,2
7580,Apartamento,724,1800,Vila Paulista,76,3,2,1
7581,Sala/Conjunto,0,950,Vila Romana,25,0,1,0
7582,Apartamento,1600,3380,Jardim Paulista,57,1,1,1
7583,Apartamento,781,1800,Sumaré,50,1,1,1
7584,Sala/Conjunto,0,1000,Barra Funda,34,0,2,1
7585,Apartamento,0,2600,Bela Vista,48,1,1,0
7586,Apartamento,0,4500,Perdizes,140,3,3,2
7587,Sala/Conjunto,0,1950,República,65,0,2,0
7588,Apartamento,605,2100,Jardim Ampliação,73,3,2,2
7589,Apartamento,1850,9500,Itaim Bibi,125,3,4,2
7590,Apartamento,1100,6900,Vila Olímpia,52,1,2,1
7591,Apartamento,250,1051,Liberdade,30,1,1,0
7592,Sala/Conjunto,0,2800,Santa Cecília,88,0,2,0
7593,Apartamento,650,1700,Consolação,50,2,1,1
7594,Apartamento,925,3999,Itaim Bibi,95,2,1,0
7595,Casa,2350,950,Jardim Japão,40,1,1,0
7596,Apartamento,590,1100,Vila Andrade,35,1,1,1
7597,Apartamento,1190,7750,Itaim Bibi,117,2,2,1
7598,Sala/Conjunto,0,2500,Brooklin,70,0,2,3
7599,Apartamento,651,1500,Vila Água Funda,75,2,2,1
7600,Apartamento,1150,3200,Vila Mariana,110,3,2,1
7601,Apartamento,600,8500,Vila Nova Conceição,100,3,3,1
7602,Apartamento,850,5900,Sumaré,74,2,3,2
7603,Apartamento,450,3200,Indianópolis,36,1,1,0
7604,Apartamento,0,1350,Vila Madalena,24,1,1,0
7605,Apartamento,536,2800,Brooklin,47,1,1,1
7606,Sala/Conjunto,0,1700,Santana,60,0,1,0
7607,Apartamento,480,1500,Brás,49,2,1,1
7608,Apartamento,4800,23000,Jardim Paulista,200,3,4,4
7609,Apartamento,550,2000,Moema,54,1,1,1
7610,Apartamento,410,1800,Vila Mariana,44,1,1,0
7611,Apartamento,506,2100,Barra Funda,60,2,2,1
7612,Sala/Conjunto,0,1900,Vila Leopoldina,40,0,1,1
7613,Sala/Conjunto,0,600,República,20,0,1,0
7614,Apartamento,2766,22000,Jardim Paulista,168,3,3,2
7615,Apartamento,700,2300,Jaguaré,70,3,2,2
7616,Apartamento,724,1800,Vila Paulista,76,3,2,1
7617,Sala/Conjunto,0,950,Vila Romana,25,0,1,0
7618,Apartamento,1600,3380,Jardim Paulista,57,1,1,1
7619,Apartamento,781,1800,Sumaré,50,1,1,1
7620,Sala/Conjunto,0,1000,Barra Funda,34,0,2,1
7621,Apartamento,0,2600,Bela Vista,48,1,1,0
7622,Apartamento,0,4500,Perdizes,140,3,3,2
7623,Sala/Conjunto,0,1950,República,65,0,2,0
7624,Apartamento,605,2100,Jardim Ampliação,73,3,2,2
7625,Apartamento,1850,9500,Itaim Bibi,125,3,4,2
7626,Apartamento,1100,6900,Vila Olímpia,52,1,2,1
7627,Apartamento,250,1051,Liberdade,30,1,1,0
7628,Sala/Conjunto,0,2800,Santa Cecília,88,0,2,0
7629,Apartamento,650,1700,Consolação,50,2,1,1
7630,Apartamento,925,3999,Itaim Bibi,95,2,1,0
7631,Casa,2350,950,Jardim Japão,40,1,1,0
7632,Apartamento,590,1100,Vila Andrade,35,1,1,1
7633,Apartamento,1190,7750,Itaim Bibi,117,2,2,1
7634,Sala/Conjunto,0,2500,Brooklin,70,0,2,3
7635,Apartamento,651,1500,Vila Água Funda,75,2,2,1
7636,Apartamento,1150,3200,Vila Mariana,110,3,2,1
7637,Apartamento,600,8500,Vila Nova Conceição,100,3,3,1
7638,Apartamento,850,5900,Sumaré,74,2,3,2
7639,Apartamento,450,3200,Indianópolis,36,1,1,0
7640,Apartamento,0,1350,Vila Madalena,24,1,1,0
7641,Apartamento,536,2800,Brooklin,47,1,1,1
7642,Sala/Conjunto,0,1700,Santana,60,0,1,0
7643,Apartamento,480,1500,Brás,49,2,1,1
7644,Apartamento,4800,23000,Jardim Paulista,200,3,4,4
7645,Apartamento,550,2000,Moema,54,1,1,1
7646,Apartamento,410,1800,Vila Mariana,44,1,1,0
7647,Apartamento,506,2100,Barra Funda,60,2,2,1
7648,Sala/Conjunto,0,1900,Vila Leopoldina,40,0,1,1
7649,Sala/Conjunto,0,600,República,20,0,1,0
7650,Apartamento,2766,22000,Jardim Paulista,168,3,3,2
7651,Apartamento,700,2300,Jaguaré,70,3,2,2
7652,Apartamento,724,1800,Vila Paulista,76,3,2,1
7653,Sala/Conjunto,0,950,Vila Romana,25,0,1,0
7654,Apartamento,1600,3380,Jardim Paulista,57,1,1,1
7655,Apartamento,781,1800,Sumaré,50,1,1,1
7656,Sala/Conjunto,0,1000,Barra Funda,34,0,2,1
7657,Apartamento,0,2600,Bela Vista,48,1,1,0
7658,Apartamento,0,4500,Perdizes,140,3,3,2
7659,Sala/Conjunto,0,1950,República,65,0,2,0
7660,Apartamento,605,2100,Jardim Ampliação,73,3,2,2
7661,Apartamento,1850,9500,Itaim Bibi,125,3,4,2
7662,Apartamento,1100,6900,Vila Olímpia,52,1,2,1
7663,Apartamento,250,1051,Liberdade,30,1,1,0
7664,Sala/Conjunto,0,2800,Santa Cecília,88,0,2,0
7665,Apartamento,650,1700,Consolação,50,2,1,1
7666,Apartamento,925,3999,Itaim Bibi,95,2,1,0
7667,Casa,2350,950,Jardim Japão,40,1,1,0
7668,Apartamento,590,1100,Vila Andrade,35,1,1,1
7669,Apartamento,1190,7750,Itaim Bibi,117,2,2,1
7670,Sala/Conjunto,0,2500,Brooklin,70,0,2,3
7671,Apartamento,651,1500,Vila Água Funda,75,2,2,1
7672,Apartamento,1150,3200,Vila Mariana,110,3,2,1
7673,Apartamento,600,8500,Vila Nova Conceição,100,3,3,1
7674,Apartamento,850,5900,Sumaré,74,2,3,2
7675,Apartamento,450,3200,Indianópolis,36,1,1,0
7676,Apartamento,0,1350,Vila Madalena,24,1,1,0
7677,Apartamento,536,2800,Brooklin,47,1,1,1
7678,Sala/Conjunto,0,1700,Santana,60,0,1,0
7679,Apartamento,480,1500,Brás,49,2,1,1
7680,Apartamento,4800,23000,Jardim Paulista,200,3,4,4
7681,Apartamento,550,2000,Moema,54,1,1,1
7682,Apartamento,410,1800,Vila Mariana,44,1,1,0
7683,Apartamento,506,2100,Barra Funda,60,2,2,1
7684,Sala/Conjunto,0,1900,Vila Leopoldina,40,0,1,1
7685,Sala/Conjunto,0,600,República,20,0,1,0
7686,Apartamento,2766,22000,Jardim Paulista,168,3,3,2
7687,Apartamento,700,2300,Jaguaré,70,3,2,2
7688,Apartamento,724,1800,Vila Paulista,76,3,2,1
7689,Sala/Conjunto,0,950,Vila Romana,25,0,1,0
7690,Apartamento,1600,3380,Jardim Paulista,57,1,1,1
7691,Apartamento,781,1800,Sumaré,50,1,1,1
7692,Sala/Conjunto,0,1000,Barra Funda,34,0,2,1
7693,Apartamento,0,2600,Bela Vista,48,1,1,0
7694,Apartamento,0,4500,Perdizes,140,3,3,2
7695,Sala/Conjunto,0,1950,República,65,0,2,0
7696,Apartamento,605,2100,Jardim Ampliação,73,3,2,2
7697,Apartamento,1850,9500,Itaim Bibi,125,3,4,2
7698,Apartamento,1100,6900,Vila Olímpia,52,1,2,1
7699,Apartamento,250,1051,Liberdade,30,1,1,0
7700,Sala/Conjunto,0,2800,Santa Cecília,88,0,2,0
7701,Apartamento,650,1700,Consolação,50,2,1,1
7702,Apartamento,925,3999,Itaim Bibi,95,2,1,0
7703,Casa,2350,950,Jardim Japão,40,1,1,0
7704,Apartamento,590,1100,Vila Andrade,35,1,1,1
7705,Apartamento,1190,7750,Itaim Bibi,117,2,2,1
7706,Sala/Conjunto,0,2500,Brooklin,70,0,2,3
7707,Apartamento,651,1500,Vila Água Funda,75,2,2,1
7708,Apartamento,1150,3200,Vila Mariana,110,3,2,1
7709,Apartamento,600,8500,Vila Nova Conceição,100,3,3,1
7710,Apartamento,850,5900,Sumaré,74,2,3,2
7711,Apartamento,450,3200,Indianópolis,36,1,1,0
7712,Apartamento,0,1350,Vila Madalena,24,1,1,0
7713,Apartamento,536,2800,Brooklin,47,1,1,1
7714,Sala/Conjunto,0,1700,Santana,60,0,1,0
7715,Apartamento,480,1500,Brás,49,2,1,1
7716,Apartamento,4800,23000,Jardim Paulista,200,3,4,4
7717,Apartamento,550,2000,Moema,54,1,1,1
7718,Apartamento,410,1800,Vila Mariana,44,1,1,0
7719,Apartamento,506,2100,Barra Funda,60,2,2,1
7720,Sala/Conjunto,0,1900,Vila Leopoldina,40,0,1,1
7721,Sala/Conjunto,0,600,República,20,0,1,0
7722,Apartamento,2766,22000,Jardim Paulista,168,3,3,2
7723,Apartamento,700,2300,Jaguaré,70,3,2,2
7724,Apartamento,724,1800,Vila Paulista,76,3,2,1
7725,Sala/Conjunto,0,950,Vila Romana,25,0,1,0
7726,Apartamento,1600,3380,Jardim Paulista,57,1,1,1
7727,Apartamento,781,1800,Sumaré,50,1,1,1
7728,Sala/Conjunto,0,1000,Barra Funda,34,0,2,1
7729,Apartamento,0,2600,Bela Vista,48,1,1,0
7730,Apartamento,0,4500,Perdizes,140,3,3,2
7731,Sala/Conjunto,0,1950,República,65,0,2,0
7732,Apartamento,605,2100,Jardim Ampliação,73,3,2,2
7733,Apartamento,1850,9500,Itaim Bibi,125,3,4,2
7734,Apartamento,1100,6900,Vila Olímpia,52,1,2,1
7735,Apartamento,250,1051,Liberdade,30,1,1,0
7736,Sala/Conjunto,0,2800,Santa Cecília,88,0,2,0
7737,Apartamento,650,1700,Consolação,50,2,1,1
7738,Apartamento,925,3999,Itaim Bibi,95,2,1,0
7739,Casa,2350,950,Jardim Japão,40,1,1,0
7740,Apartamento,590,1100,Vila Andrade,35,1,1,1
7741,Apartamento,1190,7750,Itaim Bibi,117,2,2,1
7742,Sala/Conjunto,0,2500,Brooklin,70,0,2,3
7743,Apartamento,651,1500,Vila Água Funda,75,2,2,1
7744,Apartamento,1150,3200,Vila Mariana,110,3,2,1
7745,Apartamento,600,8500,Vila Nova Conceição,100,3,3,1
7746,Apartamento,850,5900,Sumaré,74,2,3,2
7747,Apartamento,450,3200,Indianópolis,36,1,1,0
7748,Apartamento,0,1350,Vila Madalena,24,1,1,0
7749,Apartamento,536,2800,Brooklin,47,1,1,1
7750,Sala/Conjunto,0,1700,Santana,60,0,1,0
7751,Apartamento,480,1500,Brás,49,2,1,1
7752,Apartamento,4800,23000,Jardim Paulista,200,3,4,4
7753,Apartamento,550,2000,Moema,54,1,1,1
7754,Apartamento,410,1800,Vila Mariana,44,1,1,0
7755,Apartamento,506,2100,Barra Funda,60,2,2,1
7756,Sala/Conjunto,0,1900,Vila Leopoldina,40,0,1,1
7757,Sala/Conjunto,0,600,República,20,0,1,0
7758,Apartamento,2766,22000,Jardim Paulista,168,3,3,2
7759,Apartamento,700,2300,Jaguaré,70,3,2,2
7760,Apartamento,724,1800,Vila Paulista,76,3,2,1
7761,Sala/Conjunto,0,950,Vila Romana,25,0,1,0
7762,Apartamento,1600,3380,Jardim Paulista,57,1,1,1
7763,Apartamento,781,1800,Sumaré,50,1,1,1
7764,Sala/Conjunto,0,1000,Barra Funda,34,0,2,1
7765,Apartamento,0,2600,Bela Vista,48,1,1,0
7766,Apartamento,0,4500,Perdizes,140,3,3,2
7767,Sala/Conjunto,0,1950,República,65,0,2,0
7768,Apartamento,605,2100,Jardim Ampliação,73,3,2,2
7769,Apartamento,1850,9500,Itaim Bibi,125,3,4,2
7770,Apartamento,1100,6900,Vila Olímpia,52,1,2,1
7771,Apartamento,250,1051,Liberdade,30,1,1,0
7772,Sala/Conjunto,0,2800,Santa Cecília,88,0,2,0
7773,Apartamento,650,1700,Consolação,50,2,1,1
7774,Apartamento,925,3999,Itaim Bibi,95,2,1,0
7775,Casa,2350,950,Jardim Japão,40,1,1,0
7776,Apartamento,590,1100,Vila Andrade,35,1,1,1
7777,Apartamento,1190,7750,Itaim Bibi,117,2,2,1
7778,Sala/Conjunto,0,2500,Brooklin,70,0,2,3
7779,Apartamento,651,1500,Vila Água Funda,75,2,2,1
7780,Apartamento,1150,3200,Vila Mariana,110,3,2,1
7781,Apartamento,600,8500,Vila Nova Conceição,100,3,3,1
7782,Apartamento,850,5900,Sumaré,74,2,3,2
7783,Apartamento,450,3200,Indianópolis,36,1,1,0
7784,Apartamento,0,1350,Vila Madalena,24,1,1,0
7785,Apartamento,536,2800,Brooklin,47,1,1,1
7786,Sala/Conjunto,0,1700,Santana,60,0,1,0
7787,Apartamento,480,1500,Brás,49,2,1,1
7788,Apartamento,4800,23000,Jardim Paulista,200,3,4,4
7789,Apartamento,550,2000,Moema,54,1,1,1
7790,Apartamento,410,1800,Vila Mariana,44,1,1,0
7791,Apartamento,506,2100,Barra Funda,60,2,2,1
7792,Sala/Conjunto,0,1900,Vila Leopoldina,40,0,1,1
7793,Sala/Conjunto,0,600,República,20,0,1,0
7794,Apartamento,2766,22000,Jardim Paulista,168,3,3,2
7795,Apartamento,700,2300,Jaguaré,70,3,2,2
7796,Apartamento,724,1800,Vila Paulista,76,3,2,1
7797,Sala/Conjunto,0,950,Vila Romana,25,0,1,0
7798,Apartamento,1600,3380,Jardim Paulista,57,1,1,1
7799,Apartamento,781,1800,Sumaré,50,1,1,1
7800,Sala/Conjunto,0,1000,Barra Funda,34,0,2,1
7801,Apartamento,0,2600,Bela Vista,48,1,1,0
7802,Apartamento,0,4500,Perdizes,140,3,3,2
7803,Sala/Conjunto,0,1950,República,65,0,2,0
7804,Apartamento,605,2100,Jardim Ampliação,73,3,2,2
7805,Apartamento,1850,9500,Itaim Bibi,125,3,4,2
7806,Apartamento,1100,6900,Vila Olímpia,52,1,2,1
7807,Apartamento,250,1051,Liberdade,30,1,1,0
7808,Sala/Conjunto,0,2800,Santa Cecília,88,0,2,0
7809,Apartamento,650,1700,Consolação,50,2,1,1
7810,Apartamento,925,3999,Itaim Bibi,95,2,1,0
7811,Casa,2350,950,Jardim Japão,40,1,1,0
7812,Apartamento,590,1100,Vila Andrade,35,1,1,1
7813,Apartamento,1190,7750,Itaim Bibi,117,2,2,1
7814,Sala/Conjunto,0,2500,Brooklin,70,0,2,3
7815,Apartamento,651,1500,Vila Água Funda,75,2,2,1
7816,Apartamento,1150,3200,Vila Mariana,110,3,2,1
7817,Apartamento,600,8500,Vila Nova Conceição,100,3,3,1
7818,Apartamento,850,5900,Sumaré,74,2,3,2
7819,Apartamento,450,3200,Indianópolis,36,1,1,0
7820,Apartamento,0,1350,Vila Madalena,24,1,1,0
7821,Apartamento,536,2800,Brooklin,47,1,1,1
7822,Sala/Conjunto,0,1700,Santana,60,0,1,0
7823,Apartamento,480,1500,Brás,49,2,1,1
7824,Apartamento,4800,23000,Jardim Paulista,200,3,4,4
7825,Apartamento,550,2000,Moema,54,1,1,1
7826,Apartamento,410,1800,Vila Mariana,44,1,1,0
7827,Apartamento,506,2100,Barra Funda,60,2,2,1
